,Unnamed: 0,name,definition,category,lemma
0,0,person.n.01,a human being,person.n.01,person
1,1,crawler.n.02,a person who crawls or creeps along the ground,person.n.01,crawler
2,2,transfer.n.02,someone who transfers or is transferred from one position to another,person.n.01,transfer
3,3,traveler.n.01,a person who changes location,person.n.01,traveler
4,4,mover.n.03,someone who moves,person.n.01,mover
5,5,descender.n.01,someone who descends,person.n.01,descender
6,6,abseiler.n.01,a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point,person.n.01,abseiler
7,7,coaster.n.02,someone who coasts,person.n.01,coaster
8,8,ascender.n.01,someone who ascends,person.n.01,ascender
9,9,mounter.n.02,someone who ascends on foot,person.n.01,mounter
10,10,lunger.n.01,someone who moves forward suddenly (as in fencing),person.n.01,lunger
11,11,advancer.n.01,someone who advances,person.n.01,advancer
12,12,hitter.n.02,someone who hits,person.n.01,hitter
13,13,walloper.n.01,a very hard hitter,person.n.01,walloper
14,14,slapper.n.01,a hitter who slaps (usually another person) with an open hand,person.n.01,slapper
15,15,pusher.n.03,someone who pushes,person.n.01,pusher
16,16,nudger.n.01,someone who nudges; someone who gives a gentle push,person.n.01,nudger
17,17,transferer.n.01,someone who transfers something,person.n.01,transferer
18,18,transferor.n.01,(law) someone who conveys a title or property to another,person.n.01,transferor
19,19,traverser.n.01,someone who moves or passes across,person.n.01,traverser
20,20,puller.n.01,someone who applies force so as to cause motion toward herself or himself,person.n.01,puller
21,21,wrester.n.01,someone who obtains something by pulling it violently with twisting movements,person.n.01,wrester
22,22,yanker.n.01,someone who gives a strong sudden pull,person.n.01,yanker
23,23,scrambler.n.01,a rapid mover; someone who scrambles,person.n.01,scrambler
24,24,scourer.n.02,someone who travels widely and energetically,person.n.01,scourer
25,25,motorcyclist.n.01,a traveler who rides a motorcycle,person.n.01,motorcyclist
26,26,wayfarer.n.02,a traveler going on a trip,person.n.01,wayfarer
27,27,pilgrim.n.01,someone who journeys in foreign lands,person.n.01,pilgrim
28,28,air_traveler.n.01,someone who travels by airplane,person.n.01,air_traveler
29,29,musher.n.01,a traveler who drives (or travels with) a dog team,person.n.01,musher
30,30,follower.n.02,someone who travels behind or pursues another,person.n.01,follower
31,31,pursuer.n.01,a person who is pursuing and trying to overtake or capture,person.n.01,pursuer
32,32,bounty_hunter.n.01,someone who pursues fugitives or criminals for whom a reward is offered,person.n.01,bounty_hunter
33,33,shadow.n.09,an inseparable companion,person.n.01,shadow
34,34,tail.n.05,a spy employed to follow someone and report their movements,person.n.01,tail
35,35,absentee.n.01,one that is absent or not in residence,person.n.01,absentee
36,36,defaulter.n.01,someone who fails to make a required appearance in court,person.n.01,defaulter
37,37,truant.n.01,one who is absent from school without permission,person.n.01,truant
38,38,exile.n.01,a person who is voluntarily absent from home or country,person.n.01,exile
39,39,remittance_man.n.01,an exile living on money sent from home,person.n.01,remittance_man
40,40,refugee.n.01,an exile who flees for safety,person.n.01,refugee
41,41,displaced_person.n.01,a person forced to flee from home or country,person.n.01,displaced_person
42,42,awol.n.01,one who is away or absent without leave,person.n.01,awol
43,43,visitor.n.01,someone who visits,person.n.01,visitor
44,44,boulevardier.n.01,a visitor of a city boulevard (especially in Paris),person.n.01,boulevardier
45,45,guest.n.01,a visitor to whom hospitality is extended,person.n.01,guest
46,46,wedding_guest.n.01,a guest at a wedding,person.n.01,wedding_guest
47,47,guest_of_honor.n.01,the person in whose honor a gathering is held,person.n.01,guest_of_honor
48,48,house_guest.n.01,a guest entertained in your house,person.n.01,house_guest
49,49,caller.n.01,a social or business visitor,person.n.01,caller
50,50,visiting_fireman.n.01,an important or distinguished visitor,person.n.01,visiting_fireman
