,lemma
0,hanapbuhay
1,trabaho
2,obra
3,gawain
4,lengguwahe
5,wika
6,panganib
7,delikado
8,sagip
9,ligtas
10,tomboy
11,tibo
12,bading
13,bakla
14,takot
15,duwag
16,torpe
17,istorbo
18,abala
19,maliit
20,iota
21,tirahan
22,tahanan
23,bahay
24,residensiya
25,imahen
26,larawan
27,letrato
28,magaaral
29,estudyante
30,tagaturo
31,tagasanay
32,paaralan
33,eskuwela
34,kuwaderno
35,talaan
36,suweldo
37,sahod
38,bato
39,pandak
40,unano
41,bansot
42,mapait
43,pait
44,matapang
45,tawa
46,halakhak
47,suntok
48,dali
49,salvador dali
50,hinaharap
51,kinabukasan
52,sisiw
53,dati
54,noong
55,palikuran
56,banyo
57,ebak
58,tae
59,aklat
60,libro
61,perpume
62,pabango
63,tainga
64,kamukha
65,hawig
66,bitag
67,hukay
68,laglag
69,hulog
70,pader
71,hampas
72,insekto
73,karo
74,oto
75,kotse
76,bagon
77,halimaw
78,demonyo
79,masamang espiritu
80,devil
81,mali
82,sama
83,Republika ng Mali
84,indibidwal
85,tao
86,pag-gugrupogrupo
87,grupo
88,sustansya
89,pagkain
90,borloloy
91,kasuotan
92,katauhan
93,karakter
94,sanghalamanan
95,tanim
96,flora
97,halaman
98,pananim
99,papeles
100,dokumento
101,kasulatan
102,produkto
103,kalakal
104,palamuti
105,dekorasyon
106,paglalang
107,gusali
108,konstraksyon
109,looban
110,edipisyo
111,habi
112,tela
113,kasangkapan
114,naiinom
115,pampalamig
116,inumin
117,may-buhay
118,organismo
119,nilalang
120,hangganan
121,limitasyon
122,asset
123,bihis
124,suot
125,damit
126,palahayupan
127,kinapal
128,hayop
129,dami
130,sukat
131,halaga
132,takal
133,presyo
134,berde
135,kabuwisitan
136,kirot
137,hapdi
138,sakit
139,pagpapakamatay
140,pagpapatiwakal
141,magpatiwakal
142,puntod
143,nitso
144,kalamlaman
145,trahedya
146,hagok
147,hagak
148,kalungkutan
149,pighati
150,dalamhati
151,pagdurusa
152,pagdaramdam
153,pangungulila
154,lamentasyon
155,panaghoy
156,misa
157,kumedya
158,nakalipas
159,kahapon
160,pagkasuklam
161,pagkamuhi
162,terror
