,sentence
0,"Malamig|JJD na|CCP hangin|NNC ang|DTC humahampas|VBTR_VBAF sa|CCT balat|NNC ni|DTP Tatay|NNP Mario|NNP .|PMP
"
1,"Inaayos|VBTR niya|PRS ang|DTC kaniyang|PRSP_CCP bangka|NNC galing|RBL sa|CCT pangingisda|NNC sa|CCT dagat|NNC ng|CCB Roxas|NNP City|NNP .|PMP
"
2,"Ang|DTC kanilang|PRSP_CCP bahay|NNC ay|LM malapit|JJD sa|CCT tabing|FW -|PMS dagat|NNC .|PMP
"
3,"Kalmado|JJD ang|DTC dagat|NNC ,|PMC pahiwatig|NNC na|CCP maganda|JJD ang|DTC araw|NNC .|PMP
"
4,"Noong|RBW_CCP araw|NNC na|CCP iyon|PRO ,|PMC marami|PRI siyang|PRS_CCP nahuli|VBTS na|CCP isda|NNC .|PMP
"
5,"May|VBH managat|NNC ,|PMC sapsap|NNC ,|PMC bulawbulaw|NNC ,|PMC at|CCA tabagak|NNC na|CCP sagana|JJD sagana|NNC ang|DTC Roxas|NNP .|PMP
"
6,"Bilang|CCT isang|PRI_CCP mangingisda|NNC ,|PMC binubuhay|VBTR niya|PRS ang|DTC kaniyang|PRSP_CCP limang|JJN_CCP taong|NNC_CCP gulang|NNC na|CCP anak|NNC na|CCP si|DTP Ali|NNP .|PMP
"
7,"Si|DTP Ali|NNP ay|LM masayang|JJD_CCP nakikipaglaro|VBTR sa|CCT kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP
"
8,"Nakita|VBTS niya|PRS ang|DTC kaniyang|PRSP_CCP ama|NNC na|CCP naglalakad|VBTR papunta|VBW sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP
"
9,"May|VBH dala|JJD siyang|PRS_CCP balde|JJD .|PMP
"
10,"Tumakbo|VBAF siya|PRS upang|CCB salubungin|VBOF ang|DTC tatay|NNC .|PMP  
"
11,"""|PMS Tatay|NNP .┬á.┬á.|NNPA Tatay|NNP .┬á.┬á.|NNPA Andito|NNP ka|PRS na|CCP !|PMS  
"
12,"""|PMS sigaw|NNC ni|DTP Ali|NNP .|PMP
"
13,"Bigla|RBD niyang|PRS_CCP niyakap|VBTS ang|DTC kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
14,"""|PMS Basa|NNP ako|PRS ,|PMC Anak|NNP .|PMP
"
15,"Bitawan|VBOF mo|PRS muna|RBI ako|PRS .|PMP
"
16,"Mabigat|JJD din|RBI ang|DTC aking|PRSP_CCP dinadala|VBTR .|PMP  
"
17,"""|PMS Dahan|NNP -|PMS dahan|NNC niyang|PRS_CCP binitawan|VBOF ang|DTC mga|DTCP kamay|NNC niya|PRS .|PMP  
"
18,"""|PMS Tatay|NNC ,|PMC madami|PRI ka|PRS namang|RBI_CCP nakuha|VBTS ?|PMQ  
"
19,"""|PMS tanong|NNC ni|DTP Ali|NNP .|PMP  
"
20,"""|PMS Oo|RBT ,|PMC Anak|NNP .|PMP
"
21,"Madami|PRI ang|DTC kuha|NNC ko|PRS ngayon|RBW .|PMP
"
22,"Makakabili|VBTF na|CCP tayo|PRP ng|CCB bagong|JJD_CCP damit|NNC at|CCA laruan|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Tatay|NNP .|PMP  
"
