,tokens,lemma,postag
0,kapatid|NNC,kapatid,NNC
1,Pinapabayaan|VBTR,Pinapabayaan,VBTR
2,simangot|NNC,simangot,NNC
3,Ipagpaumanhin|VBOB,Ipagpaumanhin,VBOB
4,Tumalon|NNP,Tumalon,NNP
5,nagkakaroon|VBTR,nagkakaroon,VBTR
6,pintuan|NNC,pintuan,NNC
7,Naku|NNP,Naku,NNP
8,Tumawa|VBAF,Tumawa,VBAF
9,inang|NNC_CCP,inang,NNC_CCP
10,Ihinagis|VBTS,Ihinagis,VBTS
11,baso|NNC,baso,NNC
12,mapangiti|VBW,mapangiti,VBW
13,mo.|NNCA,mo.,NNCA
14,SIL|NNPA,SIL,NNPA
15,amin|PRSP,amin,PRSP
16,usok|NNC,usok,NNC
17,iisip|FW,iisip,FW
18,Woooooosh|NNP,Woooooosh,NNP
19,naglalaro|VBTR,naglalaro,VBTR
20,kutsara|NNC,kutsara,NNC
21,manananim|VBW,manananim,VBW
22,magbilang|VBAF,magbilang,VBAF
23,Pareho|JJC,Pareho,JJC
24,krayola|NNC,krayola,NNC
25,paligid|NNC,paligid,NNC
26,Nakatira|VBTS,Nakatira,VBTS
27,parin|VBOF,parin,VBOF
28,naglaro|VBTS,naglaro,VBTS
29,bulong|NNC,bulong,NNC
30,bunga|NNC,bunga,NNC
31,Nadala|VBTS,Nadala,VBTS
32,Nanay|NNP,Nanay,NNP
33,Maawa|VBTF,Maawa,VBTF
34,paghinga|NNC,paghinga,NNC
35,Galit|JJD,Galit,JJD
36,bumalik|VBAF,bumalik,VBAF
37,Nagmamadaling|RBD_CCP,Nagmamadaling,RBD_CCP
38,makakatulong|VBTF,makakatulong,VBTF
39,Nilunod|VBTS,Nilunod,VBTS
40,Nagbabasa|VBTR,Nagbabasa,VBTR
41,palagi|RBW,palagi,RBW
42,Ibibigay|VBOF,Ibibigay,VBOF
43,marahan|JJD,marahan,JJD
44,lupain|NNC,lupain,NNC
45,Pa|NNC,Pa,NNC
46,maglaro|VBAF,maglaro,VBAF
47,unahan|CDB,unahan,CDB
48,nakaupo|VBTS,nakaupo,VBTS
49,paglaro|VBW,paglaro,VBW
50,Nanlaki|VBTS,Nanlaki,VBTS
51,Unti|NNP,Unti,NNP
52,balita|NNC,balita,NNC
53,Maraming|PRI_CCP,Maraming,PRI_CCP
