,tokens,lemma,postag
0,sinasali|VBTR,sinasali,VBTR
1,Foxy|NNP,Foxy,NNP
2,School|NNP,School,NNP
3,panghihikayat|JJD,panghihikayat,JJD
4,paguugali|NNC,paguugali,NNC
5,Pupunta|VBTF,Pupunta,VBTF
6,magkano|VBW,magkano,VBW
7,mobile|FW,mobile,FW
8,gisingin|VBOF,gisingin,VBOF
9,tumalbog|VBAF,tumalbog,VBAF
10,matuyo|RBD,matuyo,RBD
11,Inipon|NNP,Inipon,NNP
12,Nagbayanihan|VBTS,Nagbayanihan,VBTS
13,diamayadong|RBD_CCP,diamayadong,RBD_CCP
14,habanglumalangoy|RBW,habanglumalangoy,RBW
15,maiiwan|VBW,maiiwan,VBW
16,makalilipad|VBTF,makalilipad,VBTF
17,hingal|VBTS,hingal,VBTS
18,Napagkasunduan|VBTS,Napagkasunduan,VBTS
19,dumadaan|VBTR_VBAF,dumadaan,VBTR_VBAF
20,Kwento|NNP,Kwento,NNP
21,Hé|NNP,Hé,NNP
22,Sumisid|NNP,Sumisid,NNP
23,pinagsamang|VBRF_CCP,pinagsamang,VBRF_CCP
24,ikaw|PRS,ikaw,PRS
25,Maglaro|VBTF,Maglaro,VBTF
26,HI|NNPA,HI,NNPA
27,Malik|NNP,Malik,NNP
28,Sinabayan|VBOF,Sinabayan,VBOF
29,excited|FW,excited,FW
30,paibabaw|NNC,paibabaw,NNC
31,mahimig|JJD,mahimig,JJD
32,algae|FW,algae,FW
33,lilipat|VBTF,lilipat,VBTF
34,napalingon|VBTS,napalingon,VBTS
35,inang|NNC_CCP,inang,NNC_CCP
36,berde|NNC,berde,NNC
37,pauwi|VBW,pauwi,VBW
38,dose|FW,dose,FW
39,publikasyong|NNC_CCP,publikasyong,NNC_CCP
40,Bengal|NNP,Bengal,NNP
41,Umpisahan|VBOF,Umpisahan,VBOF
42,bakurang|NNC_CCP,bakurang,NNC_CCP
43,yoon|PRO,yoon,PRO
44,rebolusyon|NNC,rebolusyon,NNC
45,babasagin|VBTF,babasagin,VBTF
46,sandal|FW,sandal,FW
47,recipe|FW,recipe,FW
48,aalalaMatakaw|NNP,aalalaMatakaw,NNP
49,sasakyan|NNC,sasakyan,NNC
50,Humiling|NNP,Humiling,NNP
51,bisikleta|NNC,bisikleta,NNC
52,itinanong|VBTS,itinanong,VBTS
53,Vietnamese|NNP,Vietnamese,NNP
54,tongue|FW,tongue,FW
55,napakaraming|JJCS_JJD_CCP,napakaraming,JJCS_JJD_CCP
56,Manok|NNC,Manok,NNC
57,malalakas|JJD,malalakas,JJD
58,Naasar|VBTS,Naasar,VBTS
59,Kumikislap|NNP,Kumikislap,NNP
60,nakasama|VBTS,nakasama,VBTS
61,kumikindat|VBTR,kumikindat,VBTR
62,There|NNP,There,NNP
63,hanap|FW,hanap,FW
64,pailallim|RBD,pailallim,RBD
65,nakapagsalita|VBTS,nakapagsalita,VBTS
66,bag|FW,bag,FW
67,Dadalhin|VBTF,Dadalhin,VBTF
68,baon|NNC,baon,NNC
69,Nagsama|VBTS,Nagsama,VBTS
70,mangyayari|VBTR,mangyayari,VBTR
71,Matatapos|VBTF,Matatapos,VBTF
72,nahuhulog|VBTR,nahuhulog,VBTR
73,Mapaparami|NNP,Mapaparami,NNP
74,buu|NNCA,buu,NNCA
75,Yehey|FW,Yehey,FW
76,NAFA|NNPA,NAFA,NNPA
77,nagsaing|VBTS,nagsaing,VBTS
78,Nakapagtapos|VBTS,Nakapagtapos,VBTS
79,Ashish|NNP,Ashish,NNP
80,natanaw|VBTS,natanaw,VBTS
81,hinulaang|VBTS_CCP,hinulaang,VBTS_CCP
82,please|FW,please,FW
83,mathematics|FW,mathematics,FW
84,natitira|VBTR,natitira,VBTR
85,dahan|VBTS_VBOF,dahan,VBTS_VBOF
86,Nilalagyan|VBTR,Nilalagyan,VBTR
87,madudungis|JJD,madudungis,JJD
88,makasalubong|VBW,makasalubong,VBW
89,Naguluhan|VBTS,Naguluhan,VBTS
90,ginawang|VBTS_CCP,ginawang,VBTS_CCP
91,kamote|NNC,kamote,NNC
92,@hotmail|FW,@hotmail,FW
93,lupon|NNC,lupon,NNC
94,Minsan|RBW,Minsan,RBW
