,topics
0,Monte San Savino
1,Artipisyal na itlog ng bayag
2,Propilaksis
3,Kasuotan
4,Patong
5,Fredric March
6,Mushishi
7,Ilocos Sur Polytechnic State College
8,Araling Katoliko
9,Pari
10,Gonad ng tao
11,Wikang Rengao
12,Balikbayan
13,Muawiyah I
14,Pampamahalaang Unibersidad ng Bulacan
15,Matinding Depresyon
16,Neferefre
17,Alex Gonzaga
18,Helvetica
19,Sinkretismo
20,Inihaw
21,Nicholas II ng Rusya
22,Yoshiharu Horii
23,Gitnang Kapanahunan
24,Masalimuot na bilang
25,Pamantasang Pangkompyuter ng AMA
26,Calumpit
27,Halik
28,Gumapang Ka Sa Lusak
29,Asukal
30,Pamantasang Brunel Londres
31,Allacapan
32,Eldoret
33,Ratiles ni Logan
34,Ossimo
35,Akselerasyon
36,Ang Viuda Alegre
37,Prepektura ng Miyagi
38,Giuliano Tadeo Aranda
39,Estratehiya
40,Lorenzo Tanada III
41,Pambansang Pormularyo
42,San Bellino
43,Alhebra
44,Inuming pampalamig
45,Ekspedisyong Challenger
46,Henry Peter Gyrich
47,Artaxerxes II
48,Calamity Jane
49,Talon ng Agnaga
50,Manila Adventist Medical Center and Colleges
51,Pagpapadulas sa yelo
52,Unibersidad ng Bristol
53,Museong Ayala
54,Bushranger
55,Ehersisyong pangkatawan
56,Irving Langmuir
57,Wikang Xhosa
58,Astenopya
59,Hinekolohiya
60,Wikang War
61,Prometasina
62,Gamot na pampamanhid
63,Galyetas
64,Poot
65,Uwit
66,Dinastiyang Halayerida
67,Idyoma
68,Shonen Onmyouji
69,Tony Ferrer
70,Pista opisyal sa Pilipinas
71,Euric
72,Wikang Enggano
73,Diperensiyang schizotypal na personalidad
74,Kromosomang Y
75,Koptikong Ortodoksong Simbahan ng Alehandriya
76,Watawat ng Timog Korea
77,Maayong Buntag Kapamilya
78,Isidro ng Sevilla
79,Himagsikan
80,Siniko
81,Altos del Rosario
82,Gigil
83,Bjornstjerne Bjornson
84,DWEY
85,The Kane Chronicles
86,Apurahang pagtatalik
87,Milagro
88,Doug
89,Antropolohiyang pampolitika
90,Bahagharing Watawat
91,Cesar
92,Aleluya
93,May kulay na mga talasok ng SMPTE
94,Maria Makiling
95,Ilocos Sur
96,Liezel Garcia
97,Kazuma Irifune
98,Human Torch
99,Pagpaparami
100,Juan de Lara
101,Pamimili
102,Tuwa
103,Disenyo
104,Charlie Davao
105,Pierre Curie
106,Wikang Gelao
107,Shoi Sakaguchi
108,Apat na Tigre ng Asya
109,Ras Tanura
110,Cybersex
111,Pagsasalin
112,At
113,Brian Mulroney
114,Ptolomeo
115,Roccavivara
116,Tanzania
117,Orgiya
118,Smenkhkare
119,Lino Brocka
120,Herusalem
121,Unibersidad ng Tripoli
122,Sinolohiya
123,Kazuhiko Kato
124,Aklat ni Jeremias
125,Pamantasang Normal ng Pilipinas
126,Jijel
127,Fumiyuki Kanda
128,Inhinyerong pantiyak ng kalidad
129,Psilotopsida
130,Mindanao
131,Armenia
132,Mga comune ng Ain
133,Lemlunay
134,Wikang Phowa
135,Panulaan
